,date,epsActual,epsEstimated,eps_surprise,ticker
43,2015-07-21,1.04,1.01,0.030000000000000027,VZ
42,2015-10-20,1.04,1.02,0.020000000000000018,VZ
41,2016-01-21,0.89,0.88,0.010000000000000009,VZ
40,2016-04-21,1.06,1.06,0.0,VZ
39,2016-07-26,0.94,0.93,0.009999999999999898,VZ
38,2016-10-20,1.01,0.99,0.020000000000000018,VZ
37,2017-01-24,0.86,0.89,-0.030000000000000027,VZ
36,2017-04-20,0.95,0.96,-0.010000000000000009,VZ
35,2017-07-27,0.96,0.96,0.0,VZ
34,2017-10-19,0.98,0.98,0.0,VZ
33,2018-01-23,0.86,0.88,-0.020000000000000018,VZ
32,2018-04-24,1.17,1.1,0.06999999999999984,VZ
31,2018-07-24,1.2,1.14,0.06000000000000005,VZ
30,2018-10-23,1.22,1.19,0.030000000000000027,VZ
29,2019-01-29,1.12,1.09,0.030000000000000027,VZ
28,2019-04-23,1.2,1.17,0.030000000000000027,VZ
27,2019-08-01,1.23,1.2,0.030000000000000027,VZ
26,2019-10-25,1.25,1.24,0.010000000000000009,VZ
25,2020-01-30,1.13,1.14,-0.010000000000000009,VZ
24,2020-04-24,1.26,1.22,0.040000000000000036,VZ
23,2020-07-24,1.18,1.15,0.030000000000000027,VZ
22,2020-10-21,1.25,1.22,0.030000000000000027,VZ
21,2021-01-26,1.21,1.17,0.040000000000000036,VZ
20,2021-04-21,1.31,1.29,0.020000000000000018,VZ
19,2021-07-21,1.37,1.3,0.07000000000000006,VZ
18,2021-10-20,1.41,1.36,0.04999999999999982,VZ
17,2022-01-25,1.31,1.28,0.030000000000000027,VZ
16,2022-04-22,1.35,1.35,0.0,VZ
15,2022-07-22,1.31,1.32,-0.010000000000000009,VZ
14,2022-10-21,1.32,1.29,0.030000000000000027,VZ
13,2023-01-24,1.19,1.19,0.0,VZ
12,2023-04-25,1.2,1.2,0.0,VZ
11,2023-07-25,1.21,1.17,0.040000000000000036,VZ
10,2023-10-24,1.22,1.18,0.040000000000000036,VZ
9,2024-01-23,1.08,1.07,0.010000000000000009,VZ
8,2024-04-22,1.15,1.12,0.029999999999999805,VZ
7,2024-07-22,1.15,1.15,0.0,VZ
